"","CoreArea","variable","value"
"433","Hyattville","samn_0_5",50.4321826993
"434","Hyattville","samn_5_15",49.573125919
"435","Hyattville","sap5_0_5",12.0099651909
"436","Hyattville","sap5_5_15",12.4786692637
"437","Hyattville","sap50_0_5",51.8332256439
"438","Hyattville","sap50_5_15",51.1336016955
"439","Hyattville","sap95_0_5",74.3852966296
"440","Hyattville","sap95_5_15",73.2080389985
"441","Hyattville","simn_0_5",30.0993005132
"442","Hyattville","simn_5_15",29.7590426486
"443","Hyattville","sip5_0_5",7.9504219273
"444","Hyattville","sip5_5_15",8.8105086506
"445","Hyattville","sip50_0_5",27.9395997242
"446","Hyattville","sip50_5_15",27.5025352056
"447","Hyattville","sip95_0_5",48.5595197677
"448","Hyattville","sip95_5_15",47.2023212756
"449","Jackson","bdmn_0_5",1.24423360577
"450","Jackson","bdmn_5_15",1.22387964094
"451","Jackson","bdp5_0_5",0.916907448282
"452","Jackson","bdp5_5_15",0.953344100905
"453","Jackson","bdp50_0_5",1.22378142808
"454","Jackson","bdp50_5_15",1.20277274581
"455","Jackson","bdp95_0_5",1.42345700501
"456","Jackson","bdp95_5_15",1.4311789005
"457","Jackson","clmn_0_5",14.8731078736
"458","Jackson","clmn_5_15",15.1352689389
"459","Jackson","clp5_0_5",7.11001713207
"460","Jackson","clp5_5_15",8.42318266686
"461","Jackson","clp50_0_5",13.9035064322
"462","Jackson","clp50_5_15",14.4323244732
"463","Jackson","clp95_0_5",22.1146117586
"464","Jackson","clp95_5_15",21.0605226307
"465","Jackson","samn_0_5",46.3889734615
"466","Jackson","samn_5_15",43.5851094041
"467","Jackson","sap5_0_5",13.4348263198
"468","Jackson","sap5_5_15",13.6036990398
"469","Jackson","sap50_0_5",38.6682559142
"470","Jackson","sap50_5_15",40.6915816902
"471","Jackson","sap95_0_5",62.7017173106
"472","Jackson","sap95_5_15",59.7259099489
"473","Jackson","simn_0_5",37.9804717793
"474","Jackson","simn_5_15",38.3969311583
"475","Jackson","sip5_0_5",13.1143091262
"476","Jackson","sip5_5_15",16.8555840805
"477","Jackson","sip50_0_5",36.840960268
"478","Jackson","sip50_5_15",37.0658122858
"479","Jackson","sip95_0_5",51.1689701779
"480","Jackson","sip95_5_15",49.8483337266
"481","Little Mountain","bdmn_0_5",1.27948510263
"482","Little Mountain","bdmn_5_15",1.29325427654
"483","Little Mountain","bdp5_0_5",1.0882501673
"484","Little Mountain","bdp5_5_15",1.09966473236
"485","Little Mountain","bdp50_0_5",1.25764082978
"486","Little Mountain","bdp50_5_15",1.27774476638
"487","Little Mountain","bdp95_0_5",1.4384830105
"488","Little Mountain","bdp95_5_15",1.44081087238
"489","Little Mountain","clmn_0_5",16.2594985124
"490","Little Mountain","clmn_5_15",17.3591108176
"491","Little Mountain","clp5_0_5",7.90501479584
"492","Little Mountain","clp5_5_15",8.32165685999
"493","Little Mountain","clp50_0_5",15.5122829542
"494","Little Mountain","clp50_5_15",16.7758995942
"495","Little Mountain","clp95_0_5",24.2645435259
"496","Little Mountain","clp95_5_15",24.8113890243
"497","Little Mountain","samn_0_5",50.0700654898
"498","Little Mountain","samn_5_15",48.3553344977
"499","Little Mountain","sap5_0_5",15.3565798598
"500","Little Mountain","sap5_5_15",17.176115181
"501","Little Mountain","sap50_0_5",48.1681233651
"502","Little Mountain","sap50_5_15",46.447260194
"503","Little Mountain","sap95_0_5",71.4346476804
